SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
KAXV;AXV;NEIL ARMSTRONG AIRPORT;WAPAKONETA, OHIO;;ESTADOS UNIDOS DA AMÉRICA;N/I;4,049333;-8,429861
KAYS;AYS;WAYCROSS WARE COUNTY AIRPORT;WAYCROSS, GEORGIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;31,249167;-82,395556
KAYX;AYX;ARNOLD AIR FORCE BASE;TULLAHOMA, TENNESSEE;;ESTADOS UNIDOS DA AMÉRICA;N/I;35,379;-86,05
KAZC;AZC;COLORADO CITY MUNICIPAL AIRPORT;COLORADO CITY, ARIZONA;;ESTADOS UNIDOS DA AMÉRICA;N/I;36,96;-113,013889
KAZO;AZO;KALAMAZOO/BATTLE CREEK INTERNATIONAL AIRPORT;KALAMAZOO/BATTLE CREEK, MICHIGAN;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,235;-85,551944
KBAB;BAB;BEALE AIR FORCE BASE;MARYSVILLE, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;39,136111;-121,436389
KBAC;BAC;BARNES COUNTY MUNICIPAL AIRPORT;VALLEY CITY, NORTH DAKOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;44,307;48,182
KBAD;BAD;BARKSDALE AIR FORCE BASE;BOSSIER CITY, LOUISIANA;;ESTADOS UNIDOS DA AMÉRICA;N/I;32,501944;-93,662778
KBAF;BAF;BARNES MUNICIPAL AIRPORT;WESTFIELD/SPRINGFIELD, MASSACHUSETTS;;ESTADOS UNIDOS DA AMÉRICA;N/I;42,157778;-72,715556
KBAK;CLU;COLUMBUS MUNICIPAL AIRPORT;COLUMBUS, INDIANA;;ESTADOS UNIDOS DA AMÉRICA;N/I;39,261944;-85,896389
KBAM;BAM;BATTLE MOUNTAIN AIRPORT;BATTLE MOUNTAIN, NEVADA;;ESTADOS UNIDOS DA AMÉRICA;N/I;40,599722;-116,876111
KBAN;...;BRYANT FIELD;BRIDGEPORT, CALIFORNIA;;ESTADOS UNIDOS DA AMÉRICA;N/I;38,2625;-119,225833
KBAX;...;HURON COUNTY MEMORIAL AIRPORT;BAD AXE, MICHIGAN;;ESTADOS UNIDOS DA AMÉRICA;N/I;43,780278;-82,985556
KBAZ;BA*;NEW BRAUNFELS MUNICIPAL AIRPORT;NEW BRAUNFELS, TEXAS;;ESTADOS UNIDOS DA AMÉRICA;1A;29,704444;-98,042222
KBBB;BBB;BENSON MUNICIPAL AIRPORT;BENSON, MINNESOTA;;ESTADOS UNIDOS DA AMÉRICA;N/I;45,331944;-95,650556
