SIGLA ICAO AERÓDROMO;SIGLA IATA AERÓDROMO;NOME AERÓDROMO;MUNICÍPIO AERÓDROMO;ESTADO AERÓDROMO;PAÍS AERÓDROMO;AERONAVE CRÍTICA;LATITUDE;LONGITUDE
LICR;REG;REGGIO CALABRIA AIRPORT;REGGIO CALABRIA;;ITÁLIA;N/I;38,071944;15,653611
LICT;TPS;VINCENZO FLORIO AIRPORT (BIRGI AIRPORT);TRAPANI;;ITÁLIA;N/I;37,911944;12,493333
LICZ;NSY;SIGONELLA AIRPORT (MILITARY);LENTINI, SYRACUSE;;ITÁLIA;N/I;37,401667;14,922222
LIDB;BLX;BELLUNO AIRPORT;BELLUNO;;ITÁLIA;N/I;46,166667;12,248056
LIDF;...;FANO AIRPORT;FANO, PESARO & URBINO;;ITÁLIA;N/I;43,823783;13,025581
LIDR;RAN;RAVENNA AIRPORT;RAVENNA;;ITÁLIA;N/I;44,364444;12,225556
LIEA;AHO;FERTILIA AIRPORT (ALGHERO AIRPORT);ALGHERO, SASSARI;;ITÁLIA;N/I;40,631111;8,288611
LIED;DCI;DECIMOMANNU AIR BASE;DECIMOMANNU, CAGLIARI;;ITÁLIA;N/I;39,354167;8,972222
LIEE;CAG;CAGLIARI - ELMAS AIRPORT;CAGLIARI;;ITÁLIA;N/I;39,251469;9,054283
LIEO;OLB;OLBIA - COSTA SMERALDA AIRPORT;OLBIA;;ITÁLIA;N/I;40,898611;9,5175
LIER;FNU;ORISTANO-FENOSU AIRPORT;ORISTANO;;ITÁLIA;N/I;39,895415;8,642592
LIET;TTB;TORTOLÌ AIRPORT;TORTOLÌ;;ITÁLIA;N/I;39,916667;9,683333
LIMB;...;BRESSO AIRPORT;MILAN;;ITÁLIA;N/I;45,5395;9,2023
LIMC;MXP;MALPENSA INTERNATIONAL AIRPORT;MILAN;;ITÁLIA;N/I;45,63;8,723056
LIME;BGY;ORIO AL SERIO INTERNATIONAL AIRPORT;BERGAMO;;ITÁLIA;N/I;45,668889;9,700278
LIMF;TRN;TURIN INTERNATIONAL AIRPORT (TORINO CASELLE AIRPORT);TURIN (TORINO);;ITÁLIA;N/I;45,2025;7,649444
LIMG;ALL;VILLANOVA D´ALBENGA INTERNATIONAL AIRPORT (C. PANERO AIRPORT);ALBENGA, SAVONA;;ITÁLIA;N/I;44,045833;8,125556
LIMJ;GOA;GENOA CRISTOFORO COLOMBO AIRPORT (SESTRI AIRPORT);GENOA (GENOVA);;ITÁLIA;N/I;44,413333;8,8375
LIML;LIN;LINATE AIRPORT;MILAN;;ITÁLIA;N/I;45,449444;9,278333
LIMP;PMF;PARMA AIRPORT (G. VERDI AIRPORT);PARMA;;ITÁLIA;N/I;44,822222;10,295278
LIMS;...;SAN DAMIANO AIR FORCE BASE;PIACENZA;;ITÁLIA;N/I;44,913056;9,723333
LIMW;AOT;AOSTA AIRPORT (CORRADO GEX AIRPORT);AOSTA;;ITÁLIA;N/I;45,738333;7,368611
LIMZ;CUF;CUNEO LEVALDIGI AIRPORT;CUNEO;;ITÁLIA;N/I;44,546944;7,623056
LIPA;AVB;AVIANO AIR BASE;AVIANO, PORDENONE;;ITÁLIA;N/I;46,031389;12,596944
LIPC;...;CERVIA AIR FORCE BASE;CERVIA, RAVENNA;;ITÁLIA;N/I;44,224167;12,307222
LIPE;BLQ;BOLOGNA AIRPORT (GUGLIELMO MARCONI AIRPORT);BOLOGNA;;ITÁLIA;N/I;44,535444;11,288667
LIPH;TSF;TREVISO AIRPORT (SANT´ANGELO AIRPORT);TREVISO;;ITÁLIA;N/I;45,650833;12,197778
LIPI;...;RIVOLTO AIR FORCE BASE;RIVOLTO/UDINE;;ITÁLIA;N/I;45,981667;13,050833
LIPK;FRL;FORLÌ AIRPORT (L. RIDOLFI AIRPORT);FORLÌ;;ITÁLIA;N/I;44,195556;12,069722
LIPL;...;GHEDI_AIR_BASE (MILITARY);GHEDI, BRESCIA;;ITÁLIA;N/I;45,4325;10,271111
LIPN;...;VERONA BOSCOMANTICO;VERONA BOSCOMANTICO;;ITÁLIA;N/I;45,473056;10,926944
LIPO;VBS;BRESCIA AIRPORT GABRIELE D ANNUNZIO;MONTICHIARI;;ITÁLIA;N/I;45,4286111111111;10,3313888888889
LIPQ;TRS;FRIULI VENEZIA GIULIA AIRPORT (TRIESTE RONCHI DEI LEGIONARI AIRPORT);RONCHI DEI LEGIONARI/TRIESTE;;ITÁLIA;N/I;45,8275;13,472222
LIPR;RMI;FEDERICO FELLINI INTERNATIONAL AIRPORT;RIMINI;;ITÁLIA;N/I;44,019444;12,609444
LIPS;...;ISTRANA AIR FORCE BASE;TREVISO;;ITÁLIA;N/I;45,685;12,083056
LIPT;VIC;VICENZA AIRPORT;VICENZA;;ITÁLIA;N/I;45,573333;11,529722
LIPU;...;PADOVA AIRPORT (GINO ALLEGRI AIRPORT);PADUA (PADOVA);;ITÁLIA;N/I;45,395833;11,848056
LIPV;...;VENICE-LIDO AIRPORT (GIOVANNI NICELLI AIRPORT);VENICE (VENEZIA);;ITÁLIA;N/I;45,428889;12,387778
LIPX;VRN;VERONA AIRPORT;VERONA;;ITÁLIA;N/I;45,396389;10,888056
LIPY;AOI;FALCONARA AIRPORT (RAFFAELLO SANZIO AIRPORT);ANCONA;;ITÁLIA;N/I;43,616342;13,362319
LIPZ;VCE;MARCO POLO INTERNATIONAL AIRPORT (MARCO POLO VENICE AIRPORT);VENICE (VENEZIA);;ITÁLIA;N/I;45,505278;12,351944
LIQN;...;RIETI AIRPORT (G. CIUFFELLI AIRPORT);RIETI;;ITÁLIA;N/I;42,426667;12,85
LIQS;SAY;SIENA AIRPORT;SIENA;;ITÁLIA;N/I;43,256389;11,255
LIRA;CIA;CIAMPINO AIRPORT (GIOVAN BATTISTA PASTINE AIRPORT);ROME;;ITÁLIA;N/I;41,799444;12,597222
LIRE;...;PRATICA DI MARE AIR FORCE BASE;POMEZIA, ROME;;ITÁLIA;N/I;41,654444;12,445
LIRF;FCO;LEONARDO DA VINCI INTERNATIONAL AIRPORT (FIUMICINO INTERNATIONAL AIRPORT);ROME;;ITÁLIA;N/I;41,800278;12,238889
LIRG;...;GUIDONIA AIR FORCE BASE;GUIDONIA MONTECELIO, ROME;;ITÁLIA;N/I;41,990278;12,740833
LIRI;QSR;SALERNO COSTA D´AMALFI AIRPORT;SALERNO;;ITÁLIA;N/I;40,62;14,9125
LIRJ;EBA;MARINA DI CAMPO AIRPORT;MARINA DI CAMPO, ELBA;;ITÁLIA;N/I;42,760278;10,239444
LIRL;QLT;LATINA AIRPORT (MILITARY);LATINA;;ITÁLIA;N/I;41,542222;12,908889
LIRN;NAP;NAPLES INTERNATIONAL AIRPORT (CAPODICHINO AIRPORT);NAPLES;;ITÁLIA;N/I;40,884444;14,290833
LIRP;PSA;GALILEO GALILEI AIRPORT (PISA INTERNATIONAL AIRPORT);PISA;;ITÁLIA;N/I;43,683889;10,3925
LIRQ;FLR;AMERIGO VESPUCCI AIRPORT (FLORENCE AIRPORT);FLORENCE (FIRENZE);;ITÁLIA;N/I;43,81;11,203889
LIRS;GRS;GROSSETO AIRPORT;GROSSETO;;ITÁLIA;N/I;42,759722;11,071667
LIRU;...;ROME URBE AIRPORT;ROME;;ITÁLIA;N/I;41,951944;12,498889
LIRV;...;VITERBO AIR FORCE BASE/ROME VITERBO AIRPORT;VITERBO;;ITÁLIA;N/I;42,436111;12,061667
LIRZ;PEG;SAN EGIDIO AIRPORT;PERUGIA;;ITÁLIA;N/I;43,095833;12,513056
LJAJ;...;AJDOVŠČINA AIRPORT;AJDOVŠČINA;;ESLOVÊNIA;N/I;45,888703;13,887072
LJBL;...;LESCE-BLED AIRPORT;LESCE;;ESLOVÊNIA;N/I;46,358333;14,178056
LJCE;...;CERKLJE OB KRKI AIRPORT;CERKLJE OB KRKI, BREŽICE;;ESLOVÊNIA;N/I;45,899722;15,515278
LJCL;...;CELJE AIRPORT;CELJE (LEVEC);;ESLOVÊNIA;N/I;46,235833;15,2675
LJLJ;LJU;LJUBLJANA JOŽE PUČNIK AIRPORT (BRNIK AIRPORT);LJUBLJANA;;ESLOVÊNIA;N/I;46,224444;14,456111
LJMB;MBX;MARIBOR EDVARD RUSJAN AIRPORT;MARIBOR;;ESLOVÊNIA;N/I;46,479722;15,686111
LJPT;...;PTUJ AIRPORT;PTUJ (MOŠKANJCI);;ESLOVÊNIA;N/I;46,418611;15,983889
LJPZ;POW;PORTOROŽ AIRPORT;PORTOROŽ;;ESLOVÊNIA;N/I;45,473353;13,614978
LJSG;...;SLOVENJ GRADEC AIRPORT;SLOVENJ GRADEC;;ESLOVÊNIA;N/I;46,471897;15,119722
LKBR;...;BROUMOV AIRPORT;BROUMOV;;REPÚBLICA TCHECA;N/I;50,566667;16,35
LKCB;...;CHEB AIRPORT;CHEB;;REPÚBLICA TCHECA;N/I;50,066111;12,411389
LKHB;...;HAVLÍČKŮV BROD AIRPORT;HAVLÍČKŮV BROD;;REPÚBLICA TCHECA;N/I;49,597222;15,549167
LKHK;...;HRADEC KRÁLOVÉ AIRPORT;HRADEC KRÁLOVÉ;;REPÚBLICA TCHECA;N/I;50,255556;15,845278
LKHO;GTW;HOLEŠOV AIRPORT;HOLEŠOV;;REPÚBLICA TCHECA;N/I;50,066111;12,411389
LKJC;...;JIČÍN AIRPORT;JIČÍN;;REPÚBLICA TCHECA;N/I;50,43;15,333056
LKKB;...;PRAHA KBELY;PRAHA;;REPÚBLICA TCHECA;N/I;50,12111;14,54361
LKKU;UHE;KUNOVICE AIRPORT;KUNOVICE;;REPÚBLICA TCHECA;N/I;49,029444;17,439722
LKKV;KLV;KARLOVY VARY AIRPORT;KARLOVY VARY;;REPÚBLICA TCHECA;N/I;50,203056;12,915
LKMR;MKA;MARIÁNSKÉ LÁZNĚ AIRPORT;MARIÁNSKÉ LÁZNĚ;;REPÚBLICA TCHECA;N/I;49,923333;12,726667
LKMT;OSR;OSTRAVA-MOŠNOV INTERNATIONAL AIRPORT;OSTRAVA;;REPÚBLICA TCHECA;N/I;49,696111;18,110833
LKPD;PED;PARDUBICE AIRPORT;PARDUBICE;;REPÚBLICA TCHECA;N/I;50,013333;15,738611
LKPR;PRG;PRAGUE VÁCLAV HAVEL AIRPORT;PRAGUE;;REPÚBLICA TCHECA;N/I;50,100833;14,26
LKTB;BRQ;BRNO-TUŘANY AIRPORT;BRNO;;REPÚBLICA TCHECA;N/I;49,151389;16,694444
LKVO;VOD;VODOCHODY AIRPORT;VODOCHODY;;REPÚBLICA TCHECA;N/I;50,216389;14,395
LKZB;...;ZBRASLAVICE AIRPORT;ZBRASLAVICE;;REPÚBLICA TCHECA;N/I;49,813889;15,201667
LLBG;TLV;BEN GURION INTERNATIONAL AIRPORT;LOD/TEL AVIV;;ISRAEL;N/I;32,009444;34,882778
LLBS;BEV;BE´ER SHEVA AIRPORT (TEYMAN AIRPORT);BEERSHEBA (BE´ER SHEVA);;ISRAEL;N/I;31,286944;34,722778
LLEK;...;TEL NOF ISRAELI AIR FORCE BASE;TEL NOF (TEL NOV);;ISRAEL;N/I;31,839472;34,821844
LLES;...;EIN SHEMER AIRFIELD;EIN SHEMER (EYN-SHEMER);;ISRAEL;N/I;32,436917;35,000597
LLET;ETH;EILAT AIRPORT (J. HOZMAN AIRPORT);EILAT;;ISRAEL;N/I;29,558333;34,958889
LLEY;EIY;EIN YAHAV AIRFIELD;EIN YAHAV (EYN-YAHAV);;ISRAEL;N/I;30,621497;35,203156
LLFK;...;FIQ AIRFIELD;FIQ, GOLAN HEIGHTS;;ISRAEL;N/I;32,785278;35,717222
LLHA;HFA;HAIFA INTERNATIONAL AIRPORT (U. MICHAELI AIRPORT);HAIFA;;ISRAEL;N/I;32,809444;35,043056
LLHB;...;HATZERIM AIRBASE (HATZERIM);BEERSHEBA (BE´ER SHEVA);;ISRAEL;N/I;31,233358;34,662558
LLHS;...;HATZOR AIRBASE;HATZOR;;ISRAEL;N/I;31,7625;34,727222
LLHZ;...;HERZLIYA AIRPORT;HERZLIYA (HERZLIA);;ISRAEL;N/I;32,180286;34,833983
LLIB;RPN;ROSH PINA AIRPORT (BEN YA´AQOV AIRPORT);ROSH-PINA;;ISRAEL;N/I;32,981047;35,571908
LLKS;KSW;QIRYAT SHEMONA AIRPORT;QIRYAT SHEMONA (KIRYAT-SHMONA);;ISRAEL;N/I;33,216667;35,596667
LLMG;...;MEGIDDO AIRPORT;MEGIDDO (MEGGIDO);;ISRAEL;N/I;32,597292;35,228789
LLMR;MIP;MITZPE RAMON AIRFIELD;MITZPE RAMON;;ISRAEL;N/I;30,652222;34,806667
LLMZ;MTZ;BAR YEHUDA AIRFIELD;MASADA;;ISRAEL;N/I;31,328169;35,388608
LLNV;VTM;NEVATIM ISRAELI AIR FORCE BASE;NEVATIM;;ISRAEL;N/I;31,208347;35,0123
LLOV;VDA;OVDA INTERNATIONAL AIRPORT;NEGEV;;ISRAEL;N/I;29,940278;34,935833
LLRD;...;RAMAT DAVID ISRAELI AIR FORCE BASE;MEGIDDO;;ISRAEL;N/I;32,666667;35,183333
LLRM;...;RAMON AIRBASE;MITZPE RAMON;;ISRAEL;N/I;30,774722;34,667778
LLSD;SDV;SDE DOV AIRPORT (DOV HOZ AIRPORT);TEL AVIV;;ISRAEL;N/I;32,110831;4,779447
LLYT;YOT;YOTVATA AIRFIELD;YOTVATA;;ISRAEL;N/I;29,901111;35,0675
LMMG;GZM;XEWKIJA HELIPORT (GOZO HELIPORT);GOZO;;MALTA;N/I;36,027222;14,271944
LMML;MLA;MALTA INTERNATIONAL AIRPORT (LUQA AIRPORT);LUQA;;MALTA;N/I;35,8575;14,4775
LNMC;MCM;MONACO HELIPORT;MONTE CARLO;;MÔNACO;N/I;43,726389;7,420556
LOAN;...;WIENER NEUSTADT EAST AIRPORT;WIENER NEUSTADT, LOWER AUSTRIA;;ÁUSTRIA;N/I;47,843333;16,26
LOLW;...;WELS AIRPORT;WELS, UPPER AUSTRIA;;ÁUSTRIA;N/I;48,183056;14,040833
LOWG;GRZ;GRAZ AIRPORT (THALERHOF AIRPORT);GRAZ, STYRIA;;ÁUSTRIA;N/I;46,993056;15,439167
LOWI;INN;INNSBRUCK AIRPORT (KRANEBITTEN AIRPORT);INNSBRUCK, TYROL;;ÁUSTRIA;N/I;47,260278;11,343889
LOWK;KLU;KLAGENFURT AIRPORT (WOERTHERSEE AIRPORT);KLAGENFURT, CARINTHIA;;ÁUSTRIA;N/I;46,642778;14,337222
LOWL;LNZ;LINZ AIRPORT (BLUE DANUBE AIRPORT);LINZ, UPPER AUSTRIA;;ÁUSTRIA;N/I;48,233333;14,1875
LOWS;SZG;SALZBURG AIRPORT (W. A. MOZART AIRPORT);SALZBURG, SALZBURG;;ÁUSTRIA;N/I;47,794444;13,003333
LOWW;VIE;WIEN/SCHWECHAT ;WIEN/SCHWECHAT;;ÁUSTRIA;N/I;48,1102777777778;16,5697222222222
LOXN;...;WIENER NEUSTADT WEST AIRPORT;WIENER NEUSTADT, LOWER AUSTRIA;;ÁUSTRIA;N/I;47,839417;16,221583
LOXZ;...;ZELTWEG AIR BASE;ZELTWEG, STYRIA;;ÁUSTRIA;N/I;47,202222;14,742222
LPAR;...;ALVERCA AB;ALVERCA;;PORTUGAL;N/I;38,8833333333333;-9,03
LPAV;...;SÃO JACINTO AIRPORT (AVEIRO AIRPORT);AVEIRO;;PORTUGAL;N/I;40,654167;-8,743611
LPAZ;SMA;SANTA MARIA AIRPORT;SANTA MARIA ISLAND / VILA DO PORTO;;PORTUGAL;N/I;36,973889;-25,171111
LPBG;BGC;BRAGANÇA AIRPORT;BRAGANÇA;;PORTUGAL;N/I;41,856667;-6,7075
LPBJ;BYJ;BEJA, ALENTEJO;BEJA, ALENTEJO;;PORTUGAL;N/I;38,078889;-7,9325
LPBR;BGZ;BRAGA AIRPORT;PALMEIRA, BRAGA;;PORTUGAL;N/I;41,586944;-8,445
LPCH;CHV;CHAVES AIRPORT;CHAVES;;PORTUGAL;N/I;41,722222;-7,463889
LPCO;CBP;COIMBRA AIRPORT (ANTANHOL/CERNACHE /COIMBRA) BISSAYA BARRETO AIRPORT;COIMBRA;;PORTUGAL;N/I;40,156111;-8,47
LPCR;CVU;CORVO AIRPORT;CORVO ISLAND/VILA DO CORVO;;PORTUGAL;N/I;39,670833;-31,112778
LPCS;CAT;AERÓDROMO MUNICIPAL DE CASCAIS;SÃO DOMINGOS DE RANA, CASCAIS, GREATER LISBON;;PORTUGAL;N/I;38,725556;-9,355278
LPEV;...;ÉVORA AIRPORT;ÉVORA / ALENTEJO CENTRAL;;PORTUGAL;N/I;38,529722;-7,891944
LPFL;FLW;FLORES AIRPORT;FLORES ISLAND / SANTA CRUZ DAS FLORES;;PORTUGAL;N/I;39,458056;-31,132222
LPFR;FAO;FARO / MADEIRA AND ACORES  ;FARO / MADEIRA AND ACORES;;PORTUGAL;N/I;37,0144444444444;-7,96583333333333
LPFU;...;AEROPORTO DE MADEIRA;FUNCHAL;;PORTUGAL;N/I;32,6977777777778;-16,7744444444444
LPGR;GRW;GRACIOSA AIRPORT;GRACIOSA ISLAND/SANTA CRUZ DA GRACIOSA;;PORTUGAL;N/I;39,0925;-28,028611
LPHR;HOR;HORTA AIRPORT;HORTA, FAIAL ISLAND;;PORTUGAL;N/I;38,52;-28,716389
LPIN;...;ESPINHO AIRPORT;PARAMOS / SILVALDE/ESPINHO;;PORTUGAL;N/I;40,973611;-8,644444
LPLA;TER;LAJES AIR BASE INT.;TERCEIRA ISLAND/PRAIA DA VITORIA/ANGRA DO HEROÍSMO AREA;;PORTUGAL;N/I;38,761944;-27,090833
LPMA;FNC;MADEIRA AIRPORT INT. (FUNCHAL AIRPORT);FUNCHAL, MADEIRA ISLAND (SANTA CRUZ)/FUNCHAL AREA;;PORTUGAL;N/I;32,694167;-16,778056
LPMC;...;MACEDO DE CAVALEIROS;MACEDO DE CAVALEIROS;;PORTUGAL;N/I;41,538889;-6,960833
LPMF;...;MONFORTINHO AIRPORT;MONFORTINHO, IDANHA-A-NOVA;;PORTUGAL;N/I;39,975;-6,905556
LPMI;...;MIRANDELA AIRPORT;MIRANDELA;;PORTUGAL;N/I;41,469444;-7,226389
LPMR;...;MONTE REAL AIR BASE;MONTE REAL, LEIRIA;;PORTUGAL;N/I;39,828333;-8,8875
LPMT;...;MONTIJO AIR BASE;MONTIJO;;PORTUGAL;N/I;38,703889;-9,035833
LPOT;...;OTA AIR BASE;OTA, ALENQUER;;PORTUGAL;N/I;39,085167;-8,950694
LPPD;PDL;PONTA DELGADA JOÃO PAULO II AIRPORT,FORMERLYNORDELA INT.;PONTA DELGADA, SÃO MIGUEL ISLAND;;PORTUGAL;N/I;37,74111;-25,69778
LPPI;PIX;PICO AIRPORT;PICO ISLAND (MADALENA, SÃO ROQUE DO PICO, LAJES DO PICO);;PORTUGAL;N/I;38,554444;-28,441389
LPPM;PRM;PORTIMÃO AIRPORT;MONTES DE ALVOR/PENINA/ALVOR, PORTIMÃO, BARLAVENTO ALGARVIO;;PORTUGAL;N/I;37,1475;-8,579722
LPPP;...;PORTUGAL NOF/AIS CENTRAL;PORTUGAL NOF/AIS CENTRAL;;PORTUGAL;N/I;41,2355555555556;-8,67805555555555
LPPR;OPO;PORTO;PORTO;;PORTUGAL;N/I;41,2480555555556;-8,68138888888889
LPPS;PXO;PORTO SANTO AIRPORT;PORTO SANTO ISLAND / VILA BALEIRA;;PORTUGAL;N/I;33,070833;-16,349722
LPPT;LIS;LISBOA;LISBOA;;PORTUGAL;N/I;38,7813888888889;-9,13583333333333
LPPV;...;PRAIA VERDE AIRPORT;PRAIA VERDE, ALTURA CASTRO MARIM / TAVIRA / SOTAVENTO AREA.;;PORTUGAL;N/I;37,193056;-7,470833
LPSC;...;SANTA CRUZ AIRPORT;SANTA CRUZ, TORRES VEDRAS;;PORTUGAL;N/I;39,124167;-9,380278
LPSJ;SJZ;SÃO JORGE AIRPORT;SÃO JORGE ISLAND /VELAS;;PORTUGAL;N/I;38,665278;-28,174722
LPST;...;SINTRA AIR BASE;GRANJA DO MARQUÊS / PERO PINHEIRO, SINTRA;;PORTUGAL;N/I;38,831053;-9,339553
LPVL;...;MAIA AIRPORT {MAIA AIRFIELD} (VILAR DA LUZ AIRPORT);MAIA;;PORTUGAL;N/I;41,279167;-8,516667
LPVR;VRL;VILA REAL AIRPORT;VILA REAL / ALTO DOURO;;PORTUGAL;N/I;41,2775;-7,719722
LPVZ;VSE;VISEU AIRPORT (GONÇALVES LOBATO AIRPORT);LORDOSA, VISEU (VISÉU);;PORTUGAL;N/I;40,727778;-7,889167
LQBK;BNX;BANJA LUKA INTERNATIONAL AIRPORT;BANJA LUKA;;BÓSNIA HERZEGÓVINA;N/I;44,941389;17,2975
LQBZ;...;BANJA LUKA ZALUŽANI AIRPORT;BANJA LUKA;;BÓSNIA HERZEGÓVINA;N/I;44,8486;17,2209
LQGL;...;GLAMOČ AIRPORT;GLAMOČ;;BÓSNIA HERZEGÓVINA;N/I;44,083894;16,813588
LQJL;...;TUZLA JEGEN LUG AIRPORT;TUZLA;;BÓSNIA HERZEGÓVINA;N/I;44,457694;18,808278
LQMO;OMO;MOSTAR INTERNATIONAL AIRPORT;MOSTAR;;BÓSNIA HERZEGÓVINA;N/I;43,282778;17,845833
LQSA;SJJ;SARAJEVO INTERNATIONAL AIRPORT;SARAJEVO;;BÓSNIA HERZEGÓVINA;N/I;43,824722;18,331389
LQTZ;TZL;TUZLA INTERNATIONAL AIRPORT;TUZLA;;BÓSNIA HERZEGÓVINA;N/I;44,458611;18,724722
LRAR;ARW;ARAD INTERNATIONAL AIRPORT;ARAD;;ROMÊNIA;N/I;46,176667;21,261944
LRBC;BCM;BACĂU INTERNATIONAL AIRPORT;BACĂU;;ROMÊNIA;N/I;46,521944;26,910278
LRBM;BAY;BAIA MARE AIRPORT;BAIA MARE;;ROMÊNIA;N/I;47,658333;23,466389
LRBS;BBU;BUCHAREST "AUREL VLAICU" VLAICU INTERNATIONAL AIRPORT;BUCHAREST;;ROMÊNIA;N/I;44,503611;26,103611
LRCK;CND;CONSTANȚA "MIHAIL KOGĂLNICEANU" INTERNATIONAL AIRPORT;CONSTANȚA;;ROMÊNIA;N/I;44,362222;28,488333
LRCL;CLJ;CLUJ-NAPOCA INTERNATIONAL AIRPORT;CLUJ-NAPOCA;;ROMÊNIA;N/I;46,785;23,686111
LRCS;CSB;CARANSEBEȘ AIRPORT;REȘIȚA;;ROMÊNIA;N/I;45,420278;22,252222
LRCV;CRA;CRAIOVA AIRPORT;CRAIOVA;;ROMÊNIA;N/I;44,318056;23,888611
LRIA;IAS;IAȘI INTERNATIONAL AIRPORT;IAȘI;;ROMÊNIA;N/I;47,178889;27,62
LROD;OMR;ORADEA INTERNATIONAL AIRPORT;ORADEA;;ROMÊNIA;N/I;47,025278;21,9025
LROP;OTP;BUCHAREST "HENRI COANDǍ" INTERNATIONAL AIRPORT;BUCHAREST;;ROMÊNIA;N/I;44,571111;26,085
LRSB;SBZ;SBUSBU;SBUSBU;;ROMÊNIA;N/I;45,7855555555556;24,0913888888889
LRSM;SUJ;SATU MARE INTERNATIONAL AIRPORT;SATU MARE;;ROMÊNIA;N/I;47,703333;22,885556
LRSV;SCV;SUCEAVA AIRPORT;SUCEAVA;;ROMÊNIA;N/I;47,6875;26,354167
LRTC;TCE;TULCEA AIRPORT;TULCEA;;ROMÊNIA;N/I;45,062778;28,714444
LRTM;TGM;TÂRGU MUREȘ INTERNATIONAL AIRPORT;TÂRGU-MUREȘ;;ROMÊNIA;N/I;46,467778;24,4125
LRTR;TSR;TIMIȘOARA "TRAIAN VUIA" INTERNATIONAL AIRPORT;TIMIȘOARA;;ROMÊNIA;N/I;45,81;21,338056
LSGC;ZHV;LES EPLATURES AIRPORT;LA CHAUX-DE-FONDS;;SUÍÇA;N/I;47,083889;6,792778
LSGG;GVA;GENEVA COINTRIN INTERNATIONAL AIRPORT;GENEVA;;SUÍÇA;N/I;46,238333;6,109444
LSGL;QLS;LAUSANNE AIRPORT;LAUSANNE / BLÉCHERETTE;;SUÍÇA;N/I;46,545278;6,616667
LSGN;QNC;NEUCHÂTEL AIRPORT;NEUCHÂTEL;;SUÍÇA;N/I;46,957556;6,864907
LSGP;...;LA CÔTE AIRPORT;LA CÔTE;;SUÍÇA;N/I;46,406389;6,258056
LSGS;SIR;SION AIRPORT;SION (ICAO CODE APPLIES TO CIVILIAN AIRPORT);;SUÍÇA;N/I;46,219592;7,326764
LSMA;...;ALPNACH AIR BASE;ALPNACH (MILITARY);;SUÍÇA;N/I;46,938611;8,284169
LSMD;...;DÜBENDORF AIR BASE;DÜBENDORF (MILITARY);;SUÍÇA;N/I;47,398611;8,481389
LSME;EML;EMMEN AIR BASE;EMMEN (MILITARY);;SUÍÇA;N/I;47,092222;8,304444
LSMM;...;MEIRINGEN AIR BASE;MEIRINGEN (MILITARY);;SUÍÇA;N/I;46,740278;8,11
LSMP;...;PAYERNE AIR BASE;PAYERNE (MILITARY);;SUÍÇA;N/I;46,843333;6,915
LSMS;...;SION AIR BASE;SION (MILITARY);;SUÍÇA;N/I;46,219592;7,326764
LSPM;...;AMBRI AIRPORT;AMBRI;;SUÍÇA;N/I;46,513056;8,689444
LSXB;...;BALZERS HELIPORT;BALZERS;;SUÍÇA;N/I;47,066667;9,5
LSZA;LUG;LUGANO AIRPORT;LUGANO / AGNO;;SUÍÇA;N/I;46,003611;8,910278
LSZB;BRN;BERNE AIRPORT;BERNE/BELP;;SUÍÇA;N/I;46,912222;7,499167
LSZC;BXO;BUOCHS AIRPORT;BUOCHS;;SUÍÇA;N/I;46,974444;8,396944
LSZG;ZHI;GRENCHEN AIRPORT;GRENCHEN;;SUÍÇA;N/I;47,181389;7,416944
LSZH;ZRH;ZÜRICH AIRPORT (KLOTEN AIRPORT);ZÜRICH/KLOTEN;;SUÍÇA;N/I;47,464722;8,549167
LSZL;ZJI;LOCARNO AIRPORT;LOCARNO;;SUÍÇA;N/I;46,1653;8,8778
LSZM;MLH;EUROAIRPORT BASEL-MULHOUSE-FREIBURG;BASILEIA;;SUÍÇA;1A;47,59;7,52916666666667
LSZR;ACH;AEROPORTO ST. GALLEN-ALTENRHEIN;ALTENRHEIN;;SUÍÇA;N/I;47,4852777777778;9,56111111111111
LSZS;SMV;SAMEDAN AIRPORT (ENGADIN AIRPORT);SAMEDAN;;SUÍÇA;N/I;46,533889;9,883889
LTAB;...;ANKARA, CENTRAL ANATOLIA;ANKARA, CENTRAL ANATOLIA;;TURQUIA;N/I;39,93495;32,740775
LTAC;ESB;ESENBOĞA INTERNATIONAL AIRPORT;ANKARA;;TURQUIA;N/I;40,128056;32,995
LTAD;ANK;ETIMESGUT AIR BASE;ANKARA;;TURQUIA;N/I;39,949831;32,688622
LTAE;...;AKINCI AIR BASE;ANKARA;;TURQUIA;N/I;40,078889;32,565556
LTAF;ADA;ADANA ŞAKIRPAŞA AIRPORT;ADANA;;TURQUIA;N/I;36,981944;35,280278
LTAG;UAB;INCIRLIK AIR BASE;ADANA;;TURQUIA;N/I;37,001944;35,425833
LTAH;AFY;AFYON AIRPORT;AFYONKARAHISAR;;TURQUIA;N/I;38,726389;30,601111
LTAI;AYT;ANTALYA AIRPORT;ANTALYA;;TURQUIA;N/I;36,900278;30,792778
LTAJ;GZT;OĞUZELI AIRPORT;GAZIANTEP;;TURQUIA;N/I;36,947778;37,478889
LTAL;KFS;KASTAMONU AIRPORT;KASTAMONU;;TURQUIA;N/I;41,316944;33,796111
LTAM;...;KAYSERI AIRPORT;KAYSERI;;TURQUIA;N/I;38,770278;35,495278
LTAN;KYA;KONYA AIRPORT;KONYA;;TURQUIA;N/I;37,979;32,561861
